zam_arum (u)	to sing

ban^um (-i)	to make, create, build
ba^s^um (-i)	to be, be present; ^S to cause to exist, produce; N to come to be, appear, grow
dajj_an_utum	office of judge
epi^stum	deed
gam_alum (i)	to spare, show mercy
_had^um (-u), stat. _hadi	to rejoice; D make happy
i^stu (conj.)	since, after
kal^um (-a)	to retain, hold back
kuss^um < *kussium	throne, seat
leq^um (-e)	to take
man^um (-u)	to count, reckon, consider, recite
pet^um (-e)	to open
rab^um (-i)	to become great, grow; D to raise (children); ^S to make great
ra^s^um (-i)	to acquire
red^um (-e)	to lead, bring
sal_amum (i)	to be reconciled with, be friendly, in good relations
^sal^um (-i)	to sink
^sem^un (-e)	to hear
^surqum	stolen object
tazzimtum (*nzm)	complaint
tazzimtaka	a complaint by/about you
teb^um (-e)	to rise up, attack; ^S to raise up
.t_abum	good, sweet, pleasant

ab_ubum	flood
d^akum (med. _u)	to kill; ^S to cause the death of
Ellil_utum	Ellil-ship
k^anum (med. _u)	to be firm; D to make firm, fast, to prove
ki^s^satum	entirety, universe
m^atum (med. _u)	to die; ^S cause the death of, murder
mutum	husband
ri_abum, r^abum (med. ^i)	to replace, substitute, make restitution
ri_a^sum, r^â^sum (med. _i)	to rejoice; D to make rejoice
^s^amum A (med. _a)	to buy
^si_amum, ^s^amum B (med. _i)	to fix, determine
^s_imtum (*^s^im)	fate
^s_irum	flesh
^s_iram .tubbum	to make pleasant the flesh: give joy to
t^arum (med. _u)	to return; D to cause to return, to restore
tillum	tell, remains of a city
tilli ab_ubim	old tell, tell from the flood
.ti_abum, .t^abum (med. _i)	to be good, pleasant, sweet; D to make pleasant
wa'_arum, w^arum (med. ', a class)	to go off, D to send, command, instruct
z^azum (med. _u)	to divide, receive a share of (an inheritance)
z^erum (med. _e)	to hate

a_h_azum (u/a)	to take, seize, take in marriage
al_akum (pres. illak, pret. illik)	to go
ana ^simtim al_akum	to die
am_arum (u/a)	to see
ap_alum (u/a)	to answer, satisfy, pay
eb_ebum (i)	to be pure, holy
ed_e^sum (i)	to be new; D to renew
ep_e^sum (u/*a or u/u)	to do, make
er_ebum (u)	to enter; ^S causative
er_e^sum A (i)	to ask for
er_e^sum B (i)	to cultivate (a field)
